gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
janet.mx1.lon.uk.geant.net,62.40.124.197
canarie.lon.uk.geant.net,62.40.124.242
wnpg1rtr1.canarie.ca,205.189.32.180
mrrouter-canarie-re.mrnet.mb.ca,205.189.32.217
uofm-mrrouter.mrnet.mb.ca,192.139.69.99
cifw2-firouter1.net.umanitoba.ca,192.139.114.141
enrouter-cifw2.net.umanitoba.ca,192.139.114.153
cc1router-enrouter.net.umanitoba.ca,130.179.43.197
platprod.cc.umanitoba.ca,130.179.16.50
